Time (ms),Position Data for Clock Game(mm)
,x,y,z
7340.109,-72.7193222046,268.03326416,93.3506469727,
7348.81,-71.5515594482,267.067779541,92.8734512329,
7357.51,-70.4634017944,266.118591309,91.9752502441,
7366.211,-69.2397079468,264.825622559,91.4813537598,
7374.911,-68.112159729,263.575958252,90.8047561646,
7383.612,-66.9773788452,262.270751953,90.4678649902,
7392.313,-65.8068771362,260.62210083,90.0930938721,
7401.013,-64.710647583,258.853210449,89.6062698364,
7409.714,-63.7363700867,257.148773193,89.1417617798,
7418.414,-62.7611618042,255.19859314,88.7047958374,
7427.115,-61.8175239563,253.062561035,88.349647522,
7435.816,-60.9760704041,250.957000732,87.9902191162,
7444.516,-60.2104034424,248.755386353,87.6548233032,
7453.217,-59.5185966492,246.548309326,87.3894805908,
7461.917,-58.8800315857,244.232971191,87.3577728271,
7470.618,-58.4378471375,242.076156616,87.2667999268,
7479.319,-58.0875473022,239.770736694,87.2388839722,
7488.019,-57.8578605652,237.439605713,87.2706832886,
7496.72,-57.7133331299,235.06842041,87.357963562,
7505.42,-57.6191673279,232.472015381,87.4562911987,
7514.121,-57.7452468872,230.191085815,87.4011993408,
7522.822,-57.9016418457,227.892440796,87.5675735474,
7531.522,-58.1239700317,225.638977051,87.9591674805,
7540.223,-58.466506958,223.378845215,88.2234573364,
7548.923,-58.8904533386,221.106369019,88.5670776367,
7557.624,-59.353767395,218.853363037,88.9399719238,
7566.325,-59.9034614563,216.710479736,89.2724685669,
7575.025,-60.4861526489,214.63633728,89.6989059448,
7583.726,-61.1603660583,212.721374512,90.059715271,
7592.426,-61.8663253784,210.836013794,90.5071716309,
7601.127,-62.5655174255,208.781097412,90.9267959595,
7609.828,-63.3233413696,206.829406738,91.3254699707,
7618.528,-64.1488342285,204.904754639,91.8456573486,
7627.229,-65.086730957,203.124954224,92.1600036621,
7635.929,-65.9399871826,201.312347412,92.7853088379,
7644.63,-66.7267990112,199.389083862,93.234085083,
7653.331,-67.4901657104,197.569747925,93.5453109741,
7662.031,-68.1943664551,195.901184082,94.0009918213,
7670.732,-68.8654022217,194.337158203,94.411857605,
7679.432,-69.5729370117,192.877670288,94.602973938,
7688.133,-70.2270431519,191.370437622,95.0177688599,
7696.834,-70.9015579224,189.799560547,95.2787322998,
7705.534,-71.6659851074,188.273086548,95.5726394653,
7714.235,-72.3850708008,186.632720947,95.8689422607,
7722.935,-73.1781616211,185.05027771,96.0098724365,
7731.636,-73.9561080933,183.45866394,96.1978302002,
7740.337,-74.6946334839,181.945541382,96.4858856201,
7749.037,-75.3504714966,180.439712524,96.8413543701,
7757.738,-75.9738082886,178.969100952,97.0593338013,
7783.84,-77.295249939,174.668289185,97.5224990845,
7792.54,-77.8750152588,173.456192017,97.7473144531,
7801.241,-78.4748153687,172.259368896,97.7238845825,
7809.941,-78.9671859741,171.037124634,97.7319717407,
7818.642,-79.3743972778,169.869262695,97.8606185913,
